"","Country","Category","Year","n_3","n_2","n_1","n_0"
"433","bulgaria","Other",2028,1,NA,NA,NA
"434","croatia","Audit",1992,0,0,0,0
"435","croatia","Audit",1993,0,0,0,0
"436","croatia","Audit",1994,0,0,0,0
"437","croatia","Audit",1995,0,0,0,0
"438","croatia","Audit",1996,0,0,0,0
"439","croatia","Audit",1997,0,0,0,0
"440","croatia","Audit",1998,0,0,0,0
"441","croatia","Audit",1999,0,0,0,0
"442","croatia","Audit",2000,0,0,0,0
"443","croatia","Audit",2001,0,0,0,0
"444","croatia","Audit",2002,0,0,0,0
"445","croatia","Audit",2003,1,0,0,0
"446","croatia","Audit",2004,1,1,0,0
"447","croatia","Audit",2005,1,1,1,0
"448","croatia","Audit",2006,1,1,1,1
"449","croatia","Audit",2007,1,1,1,0
"450","croatia","Audit",2008,1,1,0,0
"451","croatia","Audit",2009,1,0,0,0
"452","croatia","Audit",2010,1,0,0,0
"453","croatia","Audit",2011,1,1,0,0
"454","croatia","Audit",2012,1,1,1,0
"455","croatia","Audit",2013,3,1,1,1
"456","croatia","Audit",2014,3,3,1,0
"457","croatia","Audit",2015,3,3,2,0
"458","croatia","Audit",2016,3,2,2,2
"459","croatia","Audit",2017,2,2,2,0
"460","croatia","Audit",2018,2,2,0,0
"461","croatia","Audit",2019,2,0,0,0
"462","croatia","Audit",2020,0,0,0,0
"463","croatia","Audit",2021,0,0,0,0
"464","croatia","Audit",2022,0,0,0,0
"465","croatia","Audit",2023,0,0,0,0
"466","croatia","Audit",2024,0,0,0,0
"467","croatia","Audit",2025,0,0,0,0
"468","croatia","Audit",2026,0,0,0,0
"469","croatia","FA",1992,0,0,0,0
"470","croatia","FA",1993,0,0,0,0
"471","croatia","FA",1994,0,0,0,0
"472","croatia","FA",1995,0,0,0,0
"473","croatia","FA",1996,0,0,0,0
"474","croatia","FA",1997,0,0,0,0
"475","croatia","FA",1998,0,0,0,0
"476","croatia","FA",1999,0,0,0,0
"477","croatia","FA",2000,0,0,0,0
"478","croatia","FA",2001,0,0,0,0
"479","croatia","FA",2002,0,0,0,0
"480","croatia","FA",2003,1,0,0,0
"481","croatia","FA",2004,1,1,0,0
"482","croatia","FA",2005,2,1,1,0
"483","croatia","FA",2006,2,2,1,1
"484","croatia","FA",2007,2,2,2,0
"485","croatia","FA",2008,2,2,1,1
"486","croatia","FA",2009,2,1,1,0
"487","croatia","FA",2010,8,1,0,0
"488","croatia","FA",2011,9,7,0,0
"489","croatia","FA",2012,10,8,7,0
"490","croatia","FA",2013,10,10,8,7
"491","croatia","FA",2014,10,10,10,1
"492","croatia","FA",2015,12,10,3,2
"493","croatia","FA",2016,13,5,2,0
"494","croatia","FA",2017,7,5,2,0
"495","croatia","FA",2018,6,4,3,2
"496","croatia","FA",2019,4,4,4,1
"497","croatia","FA",2020,5,4,2,1
"498","croatia","FA",2021,5,3,1,0
"499","croatia","FA",2022,3,2,1,0
"500","croatia","FA",2023,2,1,1,1
"501","croatia","FA",2024,1,1,1,0
"502","croatia","FA",2025,1,1,0,0
"503","croatia","FA",2026,1,0,0,0
"504","croatia","Other",1992,0,0,0,0
"505","croatia","Other",1993,0,0,0,0
"506","croatia","Other",1994,0,0,0,0
"507","croatia","Other",1995,0,0,0,0
"508","croatia","Other",1996,0,0,0,0
"509","croatia","Other",1997,0,0,0,0
"510","croatia","Other",1998,0,0,0,0
"511","croatia","Other",1999,0,0,0,0
"512","croatia","Other",2000,0,0,0,0
"513","croatia","Other",2001,0,0,0,0
"514","croatia","Other",2002,0,0,0,0
"515","croatia","Other",2003,0,0,0,0
"516","croatia","Other",2004,0,0,0,0
"517","croatia","Other",2005,0,0,0,0
"518","croatia","Other",2006,0,0,0,0
"519","croatia","Other",2007,0,0,0,0
"520","croatia","Other",2008,0,0,0,0
"521","croatia","Other",2009,0,0,0,0
"522","croatia","Other",2010,7,0,0,0
"523","croatia","Other",2011,7,7,0,0
"524","croatia","Other",2012,7,7,7,0
"525","croatia","Other",2013,9,7,7,7
"526","croatia","Other",2014,9,9,7,0
"527","croatia","Other",2015,11,9,2,0
"528","croatia","Other",2016,12,4,2,2
"529","croatia","Other",2017,5,5,4,0
"530","croatia","Other",2018,5,5,3,2
"531","croatia","Other",2019,6,3,3,1
"532","croatia","Other",2020,4,4,1,0
"533","croatia","Other",2021,5,2,1,0
"534","croatia","Other",2022,4,2,1,1
"535","croatia","Other",2023,3,3,2,0
"536","croatia","Other",2024,3,3,2,1
"537","croatia","Other",2025,3,2,2,1
"538","croatia","Other",2026,2,2,1,0
"539","croatia","Tax",1992,0,0,0,0
"540","croatia","Tax",1993,0,0,0,0
"541","croatia","Tax",1994,0,0,0,0
"542","croatia","Tax",1995,1,0,0,0
"543","croatia","Tax",1996,1,1,0,0
"544","croatia","Tax",1997,1,1,1,0
"545","croatia","Tax",1998,2,1,1,1
"546","croatia","Tax",1999,2,2,1,0
"547","croatia","Tax",2000,2,2,1,0
"548","croatia","Tax",2001,2,1,1,1
"549","croatia","Tax",2002,1,1,1,0
"550","croatia","Tax",2003,1,1,0,0
"551","croatia","Tax",2004,1,0,0,0
"552","croatia","Tax",2005,1,0,0,0
"553","croatia","Tax",2006,1,1,0,0
"554","croatia","Tax",2007,1,1,1,0
"555","croatia","Tax",2008,1,1,1,1
"556","croatia","Tax",2009,2,1,1,0
"557","croatia","Tax",2010,4,2,0,0
"558","croatia","Tax",2011,4,3,1,0
"559","croatia","Tax",2012,3,3,3,1
"560","croatia","Tax",2013,3,3,3,2
"561","croatia","Tax",2014,4,3,2,0
"562","croatia","Tax",2015,4,3,0,0
"563","croatia","Tax",2016,4,1,1,0
"564","croatia","Tax",2017,2,2,1,1
"565","croatia","Tax",2018,2,2,2,0
"566","croatia","Tax",2019,2,2,1,1
"567","croatia","Tax",2020,3,1,1,0
"568","croatia","Tax",2021,3,2,0,0
"569","croatia","Tax",2022,3,2,1,0
"570","croatia","Tax",2023,2,2,2,1
"571","croatia","Tax",2024,2,2,2,1
"572","croatia","Tax",2025,2,2,1,0
"573","croatia","Tax",2026,2,1,0,0
"574","croatia","Other",2027,2,1,NA,NA
"575","croatia","Tax",2027,1,NA,NA,NA
"576","croatia","Other",2028,1,NA,NA,NA
"577","cyprus","Audit",1992,0,0,0,0
"578","cyprus","Audit",1993,0,0,0,0
"579","cyprus","Audit",1994,0,0,0,0
"580","cyprus","Audit",1995,0,0,0,0
"581","cyprus","Audit",1996,0,0,0,0
"582","cyprus","Audit",1997,0,0,0,0
"583","cyprus","Audit",1998,0,0,0,0
"584","cyprus","Audit",1999,0,0,0,0
"585","cyprus","Audit",2000,0,0,0,0
"586","cyprus","Audit",2001,0,0,0,0
"587","cyprus","Audit",2002,0,0,0,0
"588","cyprus","Audit",2003,0,0,0,0
"589","cyprus","Audit",2004,0,0,0,0
"590","cyprus","Audit",2005,1,0,0,0
"591","cyprus","Audit",2006,1,1,0,0
"592","cyprus","Audit",2007,1,1,1,0
"593","cyprus","Audit",2008,1,1,1,1
"594","cyprus","Audit",2009,1,1,1,0
"595","cyprus","Audit",2010,1,1,0,0
"596","cyprus","Audit",2011,1,0,0,0
"597","cyprus","Audit",2012,0,0,0,0
"598","cyprus","Audit",2013,2,0,0,0
"599","cyprus","Audit",2014,2,2,0,0
"600","cyprus","Audit",2015,2,2,2,0
"601","cyprus","Audit",2016,2,2,2,2
"602","cyprus","Audit",2017,2,2,2,0
"603","cyprus","Audit",2018,2,2,0,0
"604","cyprus","Audit",2019,2,0,0,0
"605","cyprus","Audit",2020,0,0,0,0
"606","cyprus","Audit",2021,0,0,0,0
"607","cyprus","Audit",2022,0,0,0,0
"608","cyprus","Audit",2023,0,0,0,0
"609","cyprus","Audit",2024,0,0,0,0
"610","cyprus","Audit",2025,0,0,0,0
"611","cyprus","Audit",2026,0,0,0,0
"612","cyprus","FA",1992,0,0,0,0
"613","cyprus","FA",1993,1,0,0,0
"614","cyprus","FA",1994,1,1,0,0
"615","cyprus","FA",1995,1,1,1,0
"616","cyprus","FA",1996,1,1,1,1
"617","cyprus","FA",1997,1,1,1,0
"618","cyprus","FA",1998,1,1,0,0
"619","cyprus","FA",1999,1,0,0,0
"620","cyprus","FA",2000,1,0,0,0
"621","cyprus","FA",2001,1,1,0,0
"622","cyprus","FA",2002,2,1,1,0
"623","cyprus","FA",2003,3,2,1,1
"624","cyprus","FA",2004,5,3,2,0
"625","cyprus","FA",2005,8,5,2,1
"626","cyprus","FA",2006,9,7,4,1
"627","cyprus","FA",2007,8,8,6,2
"628","cyprus","FA",2008,8,7,6,3
"629","cyprus","FA",2009,8,6,4,1
"630","cyprus","FA",2010,10,5,1,0
"631","cyprus","FA",2011,9,5,1,0
"632","cyprus","FA",2012,7,5,4,1
"633","cyprus","FA",2013,7,6,5,3
